SMILES	Hansch pi	Hammett sigma p
[R]NC(=O)OC(C)(C)C	00132	0.548	-0.248
[R]c1ccc(C(C)(C)C)cc1	00133	3.605	-0.055
[R]c1cnn(C)c1	00134	0.086	-0.18
[R]C(C)c1ccccc1	00135	2.704	-0.104
[R]C1CCCO1	00136	0.432	-0.041
[R]C(=O)N1CCOCC1	00137	-0.723	0.402
[R]CC(F)(F)F	00138	1.418	0.135
[R]CCN1CCOCC1	00139	0.089	-0.08
[R]CCCN=C(N)N	00140	-0.215	-0.158
[R]NC(=O)c1ccccc1	00141	1.002	-0.292
[R]C(C)(C)O	00142	0.249	-0.036
[R]c1cc(OC)c(OC)c(OC)c1	00143	1.219	0.032
[R]c1cccc(O)c1	00144	1.693	0.011
[R]c1ccc(OC(F)(F)F)cc1	00145	3.47	0.04
[R]C(=O)NCc1ccccc1	00146	1.15	0.364
[R]c2nc1ccccc1s2	00147	2.403	0.304
[R]OC(C)=O	00148	-0.261	-0.072
[R]c1ccc(S(C)(=O)=O)cc1	00149	1.122	0.171
[R]CN(C)C	00150	0.18	-0.101
[R]c1c(F)cccc1F	00151	2.256	0.095
[R]NC(C)(C)C	00152	0.504	-0.661
[R]n1ccnc1	00153	-0.591	0.133
[R]NC1CC1	00154	0.067	-0.596
[R]C(=O)C1CC1	00155	1.225	0.45
[R]C23CC1CC(CC(C1)C2)C3	00156	2.589	-0.15
[R]C(=O)NCC	00157	-0.284	0.361
[R]c1ccc(F)c(F)c1	00158	2.256	0.117
[R]C(=O)CC	00159	1.167	0.456
[R]c2nc1ccccc1[nH]2	00160	1.36	0.304
[R]CC#N	00161	0.261	0.108
[R]CC1CCCO1	00162	0.684	-0.153
[R]C=C	00163	0.941	-0.05
[R]c1cccc(N(=O)=O)c1	00164	1.931	0.19
[R]c2ccc1OCCOc1c2	00165	1.294	-0.035
[R]c1cccc(Br)c1	00166	2.769	0.049
[R]c1ccccc1C(F)(F)F	00167	2.86	0.1
[R]Cc1c[nH]cn1	00168	-0.45	-0.191
[R]C(=O)NC1CCCCC1	00169	0.958	0.358
[R]C1CCNCC1	00170	0.312	-0.128
[R]Cc1cccs1	00171	1.381	-0.069
[R]CCSC	00172	0.73	-0.039
[R]c1cnc[nH]1	00173	-0.553	-0.03
[R]Nc1ccc(OC)cc1	00174	1.239	-0.417
[R]c1cccc(C#N)c1	00175	2.013	0.092
[R]CCN	00176	-0.338	-0.08
[R]C(=O)N1CCCC1	00177	-0.055	0.345
[R]c2ccc1ccccc1n2	00178	2.466	0.171
[R]CCCc1ccccc1	00179	3.166	-0.117
[R]Cc1ccccn1	00180	0.997	-0.126
[R]C(=O)c1cccs1	00181	0.986	0.423
[R]c1ccc(N(C)C)cc1	00182	2.242	-0.188
[R]CCCCCC	00183	2.742	-0.129
