SMILES	Hansch pi	Hammett sigma p
[R]NC(=O)C1CCC(=O)N1	01485	-1.65	-0.191
[R]NC(C(=O)NC)C(C)(C)C	01486	0.508	-0.574
[R]C(=O)NCCCCC	01487	0.977	0.36
[R]NC(=O)C(N)CO	01488	-2.063	-0.221
[R]C(=O)NC(C(=O)NC)C(C)(C)C	01489	0.211	0.367
[R]C(=O)Nc1nc(C)cs1	01490	0.157	0.556
[R]Nc1nnc(CC)s1	01491	1.355	-0.27
[R]N1CCCC(C(O)=O)C1	01492	0.228	-0.573
[R]CC(=O)N1CCCC1C#N	01493	-0.048	-0.068
[R]c1cccc(C(C)(C)C)c1	01494	3.605	-0.044
[R]C(Cc1ccc(O)cc1)C(O)=O	01495	1.815	0.016
[R]CC(C)c1ccccc1	01496	3.101	-0.104
[R]C1CCCc2cccnc12	01497	1.919	-0.171
[R]c1c(C)n[nH]c1C	01498	0.011	-0.139
[R]NCc1ccc(Cl)cc1Cl	01499	2.483	-0.585
[R]c2ccc(N1CCCCC1)cc2	01500	2.964	-0.093
[R]c1ncnc2[nH]cnc12	01501	0.05	0.219
[R]Oc1ccc(C(N)=N)cc1	01502	0.674	-0.039
[R]c2ccc(C1CCCCC1)cc2	01503	3.856	-0.049
[R]Cc1cccc(C#N)c1	01504	2.41	-0.031
[R]Nc1cccc(N(=O)=O)c1	01505	1.445	-0.161
[R]c1cc(Br)ccc1OC	01506	2.517	-0.047
[R]c1cc(Cl)ccc1O	01507	2.211	0.057
[R]OCCN	01508	-0.804	-0.261
[R]SCc1ccc(Cl)cc1	01509	2.625	0.005
[R]c1ccc(OCC(O)=O)cc1	01510	1.267	-0.022
[R]c1ccnc2[nH]ccc12	01511	0.732	0.043
[R]c1coc2ccccc12	01512	1.463	-0.06
[R]N(C)c1ncnc2[nH]ccc12	01513	0.547	-0.419
[R]NC(CCCNC(N)=N)C(N)=O	01514	-2.018	-0.547
[R]C(=O)Nc1cc(C)ccc1C	01515	1.989	0.439
[R]N(C)CCOC	01516	-0.133	-0.663
[R]N1CCC(F)(F)CC1	01517	1.173	-0.552
[R]c1cccc2ncccc12	01518	2.067	0.07
[R]N1CCC(N(C)C)C1	01519	-0.044	-0.671
[R]Sc1nnnn1C	01520	0.603	0.124
[R]C(=O)Nc1nnc(CC)s1	01521	0.919	0.538
[R]NC(CCCCN)C(O)=O	01522	-0.484	-0.528
[R]NC1C3CC2CC1CC(O)(C2)C3	01523	0.476	-0.629
[R]Cc1ccccc1N(=O)=O	01524	2.327	-0.109
[R]Nc1cccc2[nH]ncc12	01525	0.585	-0.319
[R]C(N)c1ccccc1	01526	1.257	-0.079
[R]c1cc(Cl)ccc1OCC(O)=O	01527	1.785	-0.031
[R]C#CC(C)(C)O	01528	0.552	0.128
[R]c1cccc(CO)c1	01529	1.442	-0.033
[R]Cc1ccc(CN)cc1	01530	1.491	-0.112
[R]Nc1ccc(OC)nc1	01531	0.625	-0.343
[R]C(=O)NCCc1ccc(Cl)cc1	01532	1.919	0.391
[R]Sc1ccccn1	01533	1.399	-0.084
[R]CNC(=O)C(C)(C)C	01534	1.093	0.09
[R]NCC(=O)N1CCCC1C#N	01535	-0.76	-0.527
[R]NC1CCCCC1N	01536	0.139	-0.65
[R]c1cccc2OCOc12	01537	1.662	-0.031
[R]C(=O)C1CC1c2ccccc2	01538	2.773	0.421
[R]C(=O)C=Cc1ccco1	01539	0.53	0.352
[R]Nc2cc(C1CC1)n[nH]2	01540	0.619	-0.316
[R]C(=O)COc1ccc(Cl)cc1	01541	2.56	0.603
[R]n1c(C)nc2ccccc12	01542	1.322	0.19
[R]NC(=O)c1cccc(F)c1	01543	1.141	-0.25
[R]C=c1sc(=S)[nH]c1=O	01544	1.069	0.646
[R]NC(=O)C1CCC1	01545	0.172	-0.292
[R]C1=NCCS1	01546	0.607	0.288
[R]NC(=O)Nc1cccc(Cl)c1	01547	1.264	-0.264
[R]C(=O)NC(CCCCN)C(O)=O	01548	-0.781	0.404
[R]N(C)S(=O)(=O)c1ccccc1	01549	1.382	-0.235
[R]Cc1ccccc1Br	01550	3.166	-0.112
[R]C=CCN(C)C	01551	0.712	-0.071
[R]CCc1ccc(Cl)cc1Cl	01552	3.806	-0.058
[R]CCc1ccc(C)cc1	01553	3.237	-0.106
[R]N2C(=O)c1ccccc1S2(=O)=O	01554	0.823	0.094
[R]c1csnn1	01555	0.545	0.238
[R]Cc1cccc(O)c1	01556	2.089	-0.082
[R]NC(=O)CCN	01557	-1.633	-0.278
[R]C(=O)Nc1cccc(C)n1	01558	0.612	0.416
[R]C(CO)C(C)C	01559	1.139	-0.069
[R]C(=O)NN1CCCCC1	01560	0.411	0.378
[R]c2nc1ccc(C)cc1s2	01561	2.871	0.288
[R]C(=O)C(N)CCCCN	01562	-0.06	0.51
[R]CC(O)c1cccc(Cl)c1	01563	2.375	-0.076
[R]Nc1ccc(F)c(F)c1	01564	1.77	-0.247
[R]CCc1cccs1	01565	1.777	-0.079
[R]c1csc(N)n1	01566	0.524	0.048
[R]c1ncc(C(=O)NO)cn1	01567	-0.461	0.375
[R]c2nc1cc(C(N)=O)ccc1[nH]2	01568	0.194	0.38
[R]C(=O)c1cccc(Br)c1	01569	2.306	0.518
[R]C(=O)Nc1cccc(C#N)c1	01570	1.091	0.524
[R]NCC(O)c1cccc(Cl)c1	01571	1.592	-0.576
[R]C(C(C)O)C(N)=O	01572	-0.968	0.003
[R]CCCOc1ccccc1	01573	2.465	-0.055
[R]CC(N)Cc1ccccc1	01574	1.761	-0.218
[R]CC1CCCN1CC	01575	1.17	-0.134
[R]c2ccc(n1cccn1)cc2	01576	1.593	0.029
[R]CCCl	01577	1.156	0.022
[R]C(P(O)(O)=O)P(O)(O)=O	01578	0.008	0.193
[R]C(=O)c1ccc(Cl)cn1	01579	1.12	0.432
[R]C(F)(F)C(F)F	01580	1.292	0.458
[R]c2ccnc(NC(=O)C1CC1)c2	01581	0.9	0.124
[R]Cc1ccc(N)cc1	01582	1.591	-0.169
[R]S(=O)(=O)N1CCC(C)CC1	01583	0.753	0.54
[R]Nc1c(C)cccc1Cl	01584	2.477	-0.55
[R]c2ccc(N1CCOCC1)nc2	01585	1.286	0.011
[R]c1nc(=O)o[nH]1	01586	0.249	0.728
[R]c2ccc(N1CCNCC1)cc2	01587	1.682	-0.088
[R]NC(C(C)O)C(N)=O	01588	-1.488	-0.531
[R]NC(=O)N1CCOCC1	01589	-1.032	-0.338
[R]Nc1ccc(Br)cc1F	01590	2.423	-0.237
[R]C(=O)Nc1cccc(C)c1C	01591	1.989	0.44
[R]N1CCC2(CC1)OCCO2	01592	0.746	-0.672
[R]Cc1cccc(I)c1	01593	3.631	-0.063
[R]C(=O)NC(C(C)O)C(N)=O	01594	-1.785	0.399
[R]C(=O)C2Cc1ccccc1CN2	01595	1.997	0.486
[R]C(=O)C=CCN(C)C	01596	1.186	0.358
[R]NC2C1CC3CC(C1)CC2C3	01597	1.714	-0.663
[R]NC(=O)COC	01598	-1.189	-0.28
[R]Nc2nc1ccccc1[nH]2	01599	1.272	-0.137
[R]Nc1ccccc1C(F)(F)F	01600	2.374	-0.232
[R]c2nc1CCN(C)Cc1s2	01601	0.702	0.133
[R]c1ccncc1F	01602	0.805	0.151
[R]CCCCCC(O)=O	01603	1.509	-0.106
[R]NC(=O)CCC(O)=O	01604	-1.119	-0.235
[R]C1COCCO1	01605	-0.236	0.038
[R]c1ccc(C(=O)NC)cc1	01606	1.058	0.094
[R]NC(=O)c1ccc(Cl)cn1	01607	0.607	-0.242
[R]c1cccc(SC)c1	01608	2.068	0
[R]Oc1ccc(C(O)=O)cc1	01609	1.367	0.022
[R]C(=O)NCC=C	01610	0.114	0.367
[R]c1ccc(CC(C)C)cc1	01611	3.568	-0.047
[R]c1cc(C)ccc1n2nccn2	01612	1.846	-0.017
[R]NCCN1CCCCC1	01613	0.371	-0.634
[R]c1ccc(O)c(NS(C)(=O)=O)c1	01614	0.936	0.04
[R]c1ccc(OCC(O)=O)c(C)c1	01615	1.734	-0.05
[R]CC=CCCCC(O)=O	01616	1.645	-0.109
[R]CCCCC(=O)NO	01617	0.734	-0.096
[R]c2nc(c1ccccc1)no2	01618	2.242	0.416
[R]Oc1cccc(C(F)(F)F)c1	01619	2.552	0.011
[R]Oc1ccc(N(=O)=O)cc1	01620	1.622	0.151
[R]NCc1ccc(Cl)c(Cl)c1	01621	2.483	-0.549
[R]N1C(C)Cc2ccccc12	01622	2.133	-0.446
[R]Nc1cccc(CC)c1	01623	2.355	-0.4
[R]CC(=O)Nc1cccc(OC)c1	01624	0.735	-0.079
[R]Oc1cccc(F)c1	01625	1.808	-0.023
[R]N1CCCCC1=O	01626	-0.126	-0.343
[R]c1ncnc2ccccc12	01627	1.822	0.369
[R]Oc1ccc(O)cc1	01628	1.384	-0.065
[R]SC(C)C	01629	1.086	-0.055
[R]C(=S)Nc1ccccc1	01630	1.789	0.692
[R]NC(=O)Nc1ccc(OC)cc1	01631	0.493	-0.299
[R]c1cc(Br)ccc1O	01632	2.485	0.057
[R]N(CC)CCCC	01633	1.582	-0.671
[R]c1ccc(OC)cc1C	01634	2.192	-0.098
[R]c1cc(F)c(F)c(F)c1	01635	2.396	0.225
[R]c1ccnc2cc(Cl)ccc12	01636	2.585	0.209
[R]COc1ccc(F)cc1	01637	1.956	0.068
[R]C1CC2CCC(C1)N2C	01638	1.14	-0.153
[R]Nc1cccc(C(=O)NC)c1	01639	0.571	-0.326
[R]C(=O)N1CCCC1C(N)=O	01640	-1.183	0.333
[R]OCCCC(F)(F)F	01641	1.456	-0.183
[R]C(CC(C)C)NC(C)=O	01642	0.845	0.068
[R]n1cc(C)c(=O)[nH]c1=O	01643	-0.638	0.034
[R]c1cccc2OCCOc12	01644	1.294	-0.098
[R]C(=O)N1CCN(C(C)=O)CC1	01645	-1.276	0.423
[R]n1ncc2cc(C#N)cnc12	01646	0.744	0.086
[R]C(=O)CCCc1ccccc1	01647	3.177	0.469
[R]N1CC(C)CC(C)C1	01648	1.559	-0.68
[R]CC1CCC(C(O)=O)CC1	01649	1.898	-0.142
[R]CCc1c[nH]cn1	01650	-0.054	-0.174
[R]N1CCNC1=O	01651	-0.867	-0.33
[R]N(C)C(C)=O	01652	-0.665	-0.18
[R]C(=O)Nc1ccc(C)c(Cl)c1	01653	2.04	0.481
[R]C1(C)COC1	01654	0.459	-0.049
[R]C(=O)NC(C)c1ccc(F)cc1	01655	1.702	0.396
[R]Cc1ccc(OC)c(Cl)c1	01656	2.639	-0.09
[R]CC1CCCN1	01657	0.466	-0.156
[R]c1cccc(OC)c1O	01658	1.44	-0.02
[R]Oc1c(C)cccc1C	01659	2.603	-0.223
[R]OCC1CCCCC1	01660	1.886	-0.277
[R]N1CC2CC1CO2	01661	-0.295	-0.598
[R]c1nnn(C)n1	01662	0.286	0.222
[R]NCCc1ccc(F)cc1	01663	1.838	-0.601
[R]NC(CO)C(C)C	01664	0.512	-0.647
[R]c1c(N)nc(N)nc1CC	01665	0.456	-0.142
[R]NC=O	01666	-0.782	-0.264
[R]CN(O)C=O	01667	-0.033	0.151
[R]C1SC(=O)NC1=O	01668	-0.138	0.272
[R]NC(=O)c1ccc(Cl)c(Cl)c1	01669	2.038	-0.22
[R]Nc1ncccn1	01670	0.038	-0.356
[R]C(=O)c2nc1ccccc1s2	01671	1.94	0.481
[R]Cc1ccc(I)cc1	01672	3.631	-0.052
[R]C1(C)CS(=O)(=O)N(C)C(=N)N1	01673	-0.73	0.114
[R]c1ccc(O)c2[nH]c(=O)ccc12	01674	0.954	0.181
[R]CC1COCCO1	01675	0.016	-0.11
[R]c1nc(C(O)=O)cs1	01676	0.701	0.225
[R]NC1CCC(C)CC1	01677	1.586	-0.66
[R]c1cccc(C(F)(F)F)n1	01678	2.347	0.304
[R]Nc1ccc(C(N)=N)cc1	01679	0.496	-0.33
[R]CCc1ccc(Cl)c(Cl)c1	01680	3.806	-0.035
[R]c1cncc(C)c1	01681	1.133	0.062
[R]C(=O)N=C(N)N	01682	-0.975	0.187
[R]NC1CCNC1	01683	-0.767	-0.595
[R]c1cc(CC(O)=O)ccc1OC	01684	1.356	-0.136
[R]Nc1cc(C)ccc1F	01685	2.098	-0.334
[R]NC(=O)NCc1ccccc1	01686	0.841	-0.359
[R]C(C(C)C)C(N)=O	01687	0.348	-0.115
[R]NCC(O)c1ccccc1	01688	1.074	-0.604
[R]C(N)CCCN=C(N)N	01689	-1.079	-0.109
[R]NCc1c(C)cc(C)[nH]c1=O	01690	-0.055	-0.71
[R]OCCCc1ccccc1	01691	2.412	-0.259
[R]NC(=O)c1cccc(N(=O)=O)c1	01692	0.955	-0.171
[R]C=CC	01693	1.293	-0.082
[R]C(=O)c2cc1ccccc1s2	01694	2.387	0.439
[R]CNC(C)(C)C	01695	0.652	-0.11
[R]ON(=O)=O	01696	0.464	0.537
[R]c1ccc(F)cc1OC	01697	1.864	-0.093
[R]C(=O)Nc1ccccc1CC	01698	1.918	0.451
[R]N1CCCNCC1	01699	-0.476	-0.691
[R]Cc2ccc1ncccc1c2	01700	2.463	-0.066
[R]NCCc1ccccn1	01701	0.467	-0.655
[R]C(C(O)=O)c1ccccc1	01702	1.704	-0.009
[R]c1cnccc1C	01703	1.133	0.056
[R]Nc1cc(C)ccc1OC	01704	1.706	-0.443
[R]C1CCc2ccccc12	01705	2.667	-0.104
[R]OCCCN1CCN(C)CC1	01706	-0.18	-0.258
[R]NC(CC)CC	01707	1.363	-0.652
[R]C(=O)C(N)CCCN=C(N)N	01708	-0.73	0.44
[R]C1CCC(CC(O)=O)CC1	01709	1.666	-0.122
[R]CC(=O)c1ccc(Cl)cc1	01710	1.965	-0.068
[R]Cc1cccc(Cl)c1Cl	01711	3.41	-0.072
[R]C(=O)Nc1cc(Cl)ccc1OC	01712	1.32	0.443
[R]C1CCC(CN)CC1	01713	1.08	-0.126
[R]C(=O)NCCCCCC	01714	1.373	0.36
[R]NCC1CCCN1CC	01715	0.388	-0.698
[R]Nc1c(Cl)cccc1Cl	01716	2.527	-0.517
[R]c1cc(Cl)ccc1n2cnnn2	01717	1.684	0.189
[R]n1c(=O)[nH]c2ccccc12	01718	0.403	0.054
[R]NC(C(C)C)C(N)=O	01719	-0.244	-0.566
[R]c2ccc(OCC1CC1)cc2	01720	2.435	-0.08
[R]Cn1nnc2ccccc12	01721	1.357	0.171
[R]NCc1ccccc1F	01722	1.586	-0.618
[R]N1CCCC(C(=O)OCC)C1	01723	0.602	-0.593
[R]c1cccc(CN)c1	01724	1.095	-0.046
[R]Cc1ccc(N(C)C)cc1	01725	2.638	-0.179
[R]c1cc(OC)c(O)c(OC)c1	01726	1.188	0.035
[R]C(CCCC)NC(C)=O	01727	0.911	-0.142
[R]n1nc(C)c(CC(O)=O)c1C	01728	-0.167	0.09
[R]N1CCC(N)C1	01729	-0.814	-0.667
[R]CCC(C)(C(=O)NO)S(C)(=O)=O	01730	-0.258	-0.028
[R]OCOC	01731	0.19	-0.266
[R]Sc2nc1ccccc1[nH]2	01732	1.793	0
[R]c1ccc(O)c(F)c1	01733	1.833	0.081
[R]Cc1cc(C)cc(C)c1	01734	3.308	-0.125
[R]C(C)(C(=O)NO)S(C)(=O)=O	01735	-0.906	0.227
[R]c1c(O)ccc2ccccc12	01736	2.695	-0.036
[R]C=Cc1ccc(F)cc1	01737	2.649	0.027
[R]C(C)CCC	01738	2.28	-0.133
[R]SCC(=O)NCc1ccco1	01739	-0.735	-0.003
[R]N1CCCC(O)C1	01740	-0.015	-0.628
[R]c1ccc(OC)c(OC)c1OC	01741	1.219	-0.099
[R]Cn1nc(C)c(CC(O)=O)c1C	01742	-0.019	0.072
[R]n1c(=O)oc2ccccc12	01743	0.58	0.151
[R]c1cc(C)c(Cl)c(C)c1	01744	3.43	0.027
[R]c2cnc1nc(N)nc(N)c1n2	01745	-0.301	0.125
[R]Oc1cccc(C(N)=N)c1	01746	0.674	-0.065
[R]NS(=O)(=O)C(C)C	01747	0.095	-0.144
[R]Oc1cccc2[nH]ccc12	01748	0.977	-0.137
[R]NC(CC(O)=O)C(O)=O	01749	-0.87	-0.555
[R]SCC(N)=O	01750	-0.993	0
[R]CC(=O)N1CCc2ccccc12	01751	1.216	-0.085
[R]NCCCN	01752	-1.068	-0.623
[R]NC(=O)Cc1cccs1	01753	0.405	-0.283
[R]OC(C)C(O)=O	01754	0.066	-0.128
[R]c2cc(c1ccccc1)no2	01755	2.33	0.274
[R]C(=O)Nc1cc(C)ccc1F	01756	1.662	0.467
[R]c1cc(C(C)C)c(O)cc1O	01757	2.603	-0.039
[R]c1cc(F)c(O)c(Cl)c1	01758	2.351	0.168
[R]C(=O)NCCN(CC)CC	01759	0.037	0.367
[R]Nc1ccc(OC)c(Cl)c1	01760	1.757	-0.349
[R]C(=O)C(CC(C)C)NC(C)=O	01761	1.195	0.45
[R]CNCc1ccccc1	01762	1.595	-0.084
[R]C1CCCCC1C	01763	2.502	-0.136
[R]c1ccc(NC(=O)NCC)cc1	01764	1.144	-0.098
[R]C=Cc1ccc(O)cc1	01765	2.225	-0.001
[R]C(=O)c1cc(C)cc(C)c1	01766	2.449	0.442
[R]C(=O)C=Cc1ccc(OC)cc1	01767	1.794	0.352
[R]NCC(=O)OCC	01768	-0.414	-0.516
[R]c1ccccc1S(=O)(=O)C(C)C	01769	1.878	0.162
[R]c1cn(C)nc1C	01770	0.257	-0.239
[R]C(=O)NC(C(C)C)C(N)=O	01771	-0.541	0.371
[R]Nc1ccc(C)cn1	01772	1.345	-0.304
[R]N(C)CCCC	01773	1.239	-0.661
[R]NC1CCS(=O)(=O)C1	01774	-1.053	-0.455
[R]CCCCCN	01775	0.851	-0.126
[R]Oc1ccc(C(C)(C)C)cc1	01776	3.296	-0.109
[R]CC(=O)c1ccc(OC)cc1	01777	1.194	-0.115
[R]C(=O)C(CCCC)NC(C)=O	01778	1.261	0.453
[R]CCc1cccnc1	01779	1.458	-0.057
[R]C=Cc1cccnc1	01780	1.198	0.051
[R]c1cc(F)cc(C(F)(F)F)c1	01781	3	0.197
[R]CC(=O)C(C)(C)C	01782	2.327	-0.112
[R]c1ccc(C(N)=N)cc1F	01783	1.122	0.068
[R]CC1CCOC1	01784	0.601	-0.049
[R]SCC(=O)Nc1cc(C)on1	01785	-0.325	0.054
[R]c1ncccc1Cl	01786	1.583	0.185
[R]C(F)(C(F)(F)F)C(F)(F)F	01787	2.117	0.549
[R]Cc2nc1ccccc1s2	01788	2.456	-0.019
[R]c1ccc(I)cc1F	01789	3.374	0.097
[R]c2ccc1cc[nH]c1c2	01790	1.286	-0.06
[R]C=Cc1ccc(O)c(O)c1	01791	1.941	0.027
[R]C(=O)NC(N)=N	01792	-0.975	0.431
[R]OCc1c(F)cccc1F	01793	2.043	-0.239
[R]CC1CCN(C)CC1	01794	1.069	-0.128
[R]c1ccc(CCCCC)cc1	01795	4.03	-0.047
[R]c1ncnc(N)c1C#N	01796	0.372	0.38
[R]Cc1cc(Cl)cc(Cl)c1	01797	3.41	-0.011
[R]c1ccc(C(F)(F)F)c(F)c1	01798	3	0.225
[R]Nc1ccc(I)cc1F	01799	2.888	-0.237
[R]C(=O)CCCCCCC(=O)NO	01800	1.537	0.462
[R]c1ccc(C=CC(O)=O)cc1	01801	2.208	0.087
[R]NCC23CC1CC(CC(C1)C2)C3	01802	2.058	-0.658
[R]C(N)Cc1c[nH]cn1	01803	-1.17	-0.122
[R]C(=O)COc1ccccc1C	01804	2.509	0.568
[R]C(=O)NC(CC(O)=O)C(O)=O	01805	-1.167	0.377
[R]NC(=O)C(CC(C)C)NC(C)=O	01806	-0.255	-0.342
[R]Nc1nnc(C)s1	01807	0.787	-0.266
[R]NCC(C)O	01808	-0.36	-0.656
[R]C(C)C(=O)NO	01809	0.108	-0.06
[R]C1CC(F)(F)C1	01810	1.129	0.034
[R]N(CCC)CC1CC1	01811	1.553	-0.661
[R]NC(=O)C(CCCC)NC(C)=O	01812	-0.189	-0.337
[R]C(=O)Nc1ccc(C#N)cc1	01813	1.091	0.529
[R]NC(=O)Nc1ccc(F)cc1	01814	0.885	-0.261
[R]NCc1ccccc1C	01815	1.914	-0.629
[R]C(=O)Cc1ccc(F)cc1	01816	2.523	0.511
[R]C2(C(F)F)N=C(N)OC1CC12	01817	0.058	0.015
[R]C(=O)C(N)Cc1c[nH]cn1	01818	-0.82	0.412
[R]OCC1CCCO1	01819	0.218	-0.273
[R]CC1CC1(F)F	01820	1.301	0
[R]C1CCCN(C)C1	01821	0.745	-0.09
[R]CNS(C)(=O)=O	01822	-0.513	0.089
[R]NC(=O)c1ccc(N(=O)=O)cc1	01823	0.955	-0.144
[R]CCc1ccccc1OC	01824	2.517	-0.152
[R]C(=O)NCCCn1ccnc1	01825	-1.218	0.424
[R]CCCCCCC(O)=O	01826	1.905	-0.11
[R]N(O)C(N)=O	01827	-0.697	-0.199
[R]COc1cccc(C)c1	01828	2.284	0.027
[R]c1ccccn1=O	01829	-0.008	0.1
[R]c1cc[nH]c(=O)c1	01830	0.007	0.144
[R]c1cc(O)c(O)c(O)c1	01831	1.124	0.083
[R]C(=O)N1CCC(F)C1	01832	-0.275	0.405
[R]SC(C)(C)C	01833	1.164	-0.066
[R]N1CCSC1	01834	0.499	-0.493
[R]OCc1ccccc1Cl	01835	2.282	-0.216
[R]NCc1cccc(C(F)(F)F)c1	01836	2.33	-0.554
[R]C(=O)NOC	01837	-0.356	0.447
[R]CCCC1CCCCC1	01838	3.361	-0.131
[R]C=C(C)C	01839	1.446	-0.104
[R]CC1=NCCN1	01840	-0.454	-0.182
[R]c1cccnc1OC	01841	1.111	-0.087
[R]c1cc(C)nc(C)c1	01842	1.007	0.086
[R]c1cccc2ccc(C)nc12	01843	2.237	-0.095
[R]OCCC(C)C	01844	1.525	-0.277
[R]c2cnn(C1CCNCC1)c2	01845	-0.299	-0.205
[R]NCCCCc1ccccc1	01846	2.491	-0.634
[R]NCc1ccc(F)c(F)c1	01847	1.726	-0.542
[R]C2(c1ccc(Cl)cc1)CCC2	01848	3.548	-0.054
[R]Cc1cccc(C(F)(F)F)c1Cl	01849	3.775	-0.042
[R]S(=O)(=O)Nc1ccncn1	01850	-0.093	0.565
[R]c1ncc(C(F)(F)F)c(NC)n1	01851	1.374	0.325
[R]C(=O)N1CCN(C(C)C)CC1	01852	0.177	0.36
[R]Oc2ccc1[nH]ccc1c2	01853	0.977	-0.161
[R]OC(C)C(F)(F)F	01854	1.375	-0.069
[R]NC(=O)Nc1ccc(C)cc1	01855	1.213	-0.299
[R]CC1CCCN1C	01856	0.828	-0.129
[R]C(=O)c1ccccc1C(O)=O	01857	1.213	0.367
[R]c2ccc1ncnn1c2	01858	1.025	0.144
[R]c1ccccc1C(C)(C)C	01859	3.605	-0.044
[R]Cc1cccc(C)n1	01860	1.168	-0.139
[R]NC(=O)C1CCCC1	01861	0.568	-0.302
[R]c1cncc(Br)c1	01862	1.457	0.147
[R]c1ccc(N(=O)=O)s1	01863	2.101	0.603
[R]n1ccnc1C	01864	-0.308	0.105
[R]CCCN1CCCC1=O	01865	0.274	-0.115
[R]C(=O)c1ccc(C)o1	01866	-0.001	0.397
[R]C(=O)NCC1CCCN1CC	01867	0.091	0.333
[R]C1C(O)C(O)C2(C(=O)NC)CC12	01868	-1.027	-0.136
[R]C=Cc1ccc(OC)c(OC)c1	01869	2.004	-0.031
[R]NCc1ccc(OC)c(OC)c1	01870	0.942	-0.626
[R]C(=O)c1c(Cl)cccc1Cl	01871	2.55	0.48
[R]NC(=O)C1CCCN1	01872	-0.886	-0.258
[R]c1ccc(F)cc1C(F)(F)F	01873	3	0.155
[R]CCc1cccc(OC)c1	01874	2.517	-0.096
[R]c2cc(C)c1[nH]ncc1c2	01875	1.538	-0.066
[R]NS(=O)(=O)c1cn(C)cn1	01876	-0.793	-0.186
[R]CCCC(=O)c1ccc(F)cc1	01877	2.379	-0.098
[R]N1CCC(CO)CC1	01878	0.009	-0.682
[R]c1cccc(OC(C)C)c1	01879	2.48	0
[R]c1ccc(F)c(F)c1F	01880	2.396	0.143
[R]c2ccc1[nH]ccc1c2C	01881	1.753	-0.145
[R]C(=O)Nc1ccc(N(=O)=O)cc1	01882	1.008	0.598
[R]c2ccc1ccc(=O)oc1c2	01883	1.416	0.165
[R]C(C)=CC(O)=O	01884	0.677	0.272
[R]C(CCC)CCC	01885	3.072	-0.142
[R]Cc1cccc(OC(F)(F)F)c1	01886	3.866	-0.047
[R]C(=O)N1C(C)Cc2ccccc12	01887	1.696	0.432
[R]S(=O)(=O)Nc1c(C)nn(C)c1C	01888	-0.556	0.534
[R]NC#N	01889	-0.104	-0.171
[R]c1ccccc1CN(C)C	01890	1.864	-0.115
[R]Cc1ccc(C)cn1	01891	1.464	-0.136
[R]Cc1ccc(C)cc1C	01892	3.308	-0.126
[R]C(=O)Nc1nnc(C)s1	01893	0.351	0.541
[R]Nc2ccc1[nH]ccc1c2C	01894	1.267	-0.474
[R]c1nncn1C	01895	0	0.301
[R]c1cncc(OC)c1	01896	0.413	0.092
[R]Oc1cc(C)c(Cl)c(C)c1	01897	3.121	-0.049
[R]C(=O)NCC1CCCCC1	01898	1.272	0.356
[R]Cc1cc(C)ccc1C	01899	3.308	-0.125
[R]C1CCC(N)C(F)CO1	01900	-0.057	-0.031
[R]OC1CCNCC1	01901	-0.398	-0.273
[R]c2ccc1nc(C)sc1c2	01902	2.354	0.048
[R]Nc1cccc(S(N)(=O)=O)c1	01903	0.344	-0.261
[R]c2cc(Cl)c1OCCCOc1c2	01904	1.864	0.095
[R]C(=O)N1CCSC1	01905	0.087	0.443
[R]NCCCOCC	01906	-0.1	-0.609
[R]C(C)C1CC1	01907	1.71	-0.128
[R]C(=O)c1cccn1C	01908	0.067	0.372
[R]c1ccc(OC)c(C)c1	01909	2.192	-0.095
[R]OCc1cccnc1	01910	0.452	-0.205
[R]CNC(=O)CO	01911	-1.319	0.117
[R]OCC(=O)OC	01912	-0.439	-0.123
[R]c1cccc(C(=O)N(C)C)c1O	01913	1.02	-0.006
[R]SCC(=O)N1CCOCC1	01914	-0.842	0.007
[R]c1c[nH]c2ccc(Cl)cc12	01915	1.804	-0.164
[R]S(=O)(=O)Nc1ccccc1	01916	1.164	0.598
[R]c1cccc(C(=O)OCC)c1	01917	2.05	0.024
[R]NCc1ccc(CN)cc1	01918	0.564	-0.628
[R]NC1CN2CCC1CC2	01919	-0.037	-0.617
[R]c1ccnnc1	01920	0.214	0.25
[R]Nc1cccc(Cl)c1Cl	01921	2.527	-0.253
[R]CNC(=O)OC(C)(C)C	01922	0.696	0.128
[R]c1ccc(OC(C)C)c(F)c1	01923	2.62	-0.012
[R]Nc2nc1ccc(OC)cc1s2	01924	1.97	-0.334
[R]C(=O)CCCCCCC	01925	3.148	0.458
[R]Nc2nc(c1ccccc1)cs2	01926	2.506	-0.172
[R]C(=O)NCc1ccc(Cl)cc1Cl	01927	2.186	0.385
[R]Nc1ncc(C(=O)NO)cn1	01928	-0.642	-0.223
[R]C1CCN(CC)CC1	01929	1.015	-0.131
[R]Cc1ccc(SC)cc1	01930	2.464	-0.093
[R]c1ccc(C)c(N(=O)=O)c1	01931	2.398	0.165
[R]CC(=O)Nc1cccc(C)c1	01932	1.455	-0.072
[R]Nc2ccc1CCCc1c2	01933	2.318	-0.406
[R]N2CCC(N1CCCC1)CC2	01934	0.333	-0.671
[R]N1C(C)CCCC1C	01935	1.58	-0.188
[R]C1CC(=O)OC1O	01936	-0.332	0.01
[R]C(C)c1ccc(Cl)cc1	01937	3.222	-0.052
[R]Cc1cc(OC)cc(OC)c1	01938	1.868	-0.104
[R]C(=O)c1ccccc1N(=O)=O	01939	1.468	0.508
